,Timestamp,Frequency [Hz],Absolute Impedance,Phase Angle,Real Impedance,Imaginary Impedance,Total Harmonic Distortion,Number of Cycles,Working electrode DC Voltage [V],DC Current [A],Current Amplitude,Voltage Amplitude,,,Real,Imaginary
0,6074.491508,500000,41.60124247,29.53778432,36.19436113,20.50930514,110.9003249,1330,1.499469805,0.005456516,0.000226591,0.010109792,,,36.19436113,-20.50930514
0,6074.839581,397164.0938,28.44601063,-4.148177934,28.37149092,-2.057674339,179.8699291,1365,1.498720479,0.001261151,0.000354667,0.009852814,,,28.37149092,2.057674339
0,6075.210227,315478.625,37.12330723,3.455051109,37.05583132,2.237253853,204.1639236,1355,1.498720503,0.000562653,0.000303205,0.010732527,,,37.05583132,-2.237253853
0,6075.614955,250593.5781,27.66287814,-0.89142804,27.65953014,-0.430371497,323.0588308,1385,1.498933125,0.00035681,0.000337274,0.009340602,,,27.65953014,0.430371497
0,6076.23331,199053.5313,31.17144808,10.03033168,30.69501393,5.429115475,167.0929011,1360,1.499517989,0.000257171,0.000320203,0.01009322,,,30.69501393,-5.429115475
0,6076.840788,158113.8906,26.30042921,3.988463074,26.23673157,1.829342278,146.7457361,1370,1.498545098,0.000225728,0.000396706,0.010354296,,,26.23673157,-1.829342278
0,6077.794033,125594.3438,21.45835743,15.19256127,20.70839913,5.623460577,252.4414102,1365,1.49752717,0.000201419,0.000441168,0.009415612,,,20.70839913,-5.623460577
0,6078.337655,99763.08594,26.81889978,-7.551801474,26.58628462,-3.524607132,254.3295903,1355,1.497688556,0.000209203,0.000342095,0.009412367,,,26.58628462,3.524607132
0,6079.338909,79244.65625,26.80232458,0.531677916,26.80117061,0.248709411,1016.521991,1360,1.498037958,0.000181264,0.000390171,0.010325928,,,26.80117061,-0.248709411
0,6079.731168,62946.23047,27.87274695,3.481028277,27.82132056,1.692378418,248.723788,1285,1.498103809,0.000184952,0.000373026,0.01045149,,,27.82132056,-1.692378418
0,6079.975051,50000.00781,25.6114014,-0.786968926,25.60898557,-0.351766631,170.7161252,1020,1.497805381,0.000170718,0.000365772,0.009575754,,,25.60898557,0.351766631
0,6080.16562,39716.4375,27.07345908,10.32340469,26.63519168,4.851675042,421.0753758,810,1.497954011,0.000166636,0.000365959,0.00996377,,,26.63519168,-4.851675042
0,6080.514189,31547.90039,26.92474008,3.304467468,26.879973,1.551992355,111.5080433,645,1.497948432,0.00019769,0.000348396,0.009227435,,,26.879973,-1.551992355
0,6080.714912,25059.375,27.85313704,10.14998215,27.41723053,4.908432823,97.86045371,510,1.49875536,0.000192533,0.000344559,0.00973424,,,27.41723053,-4.908432823
0,6081.028448,19905.34375,25.33010824,3.508617188,25.28262962,1.550168596,72.78882876,405,1.49875412,0.00016882,0.000404374,0.009894702,,,25.28262962,-1.550168596
0,6081.26459,15811.38965,28.74043784,2.169801417,28.71983125,1.088145383,90.34930216,320,1.499959469,0.000170509,0.000345168,0.009887043,,,28.71983125,-1.088145383
0,6081.526356,12559.44336,24.23622715,8.585834249,23.96461955,3.618247673,105.4037231,255,1.500253415,0.000165849,0.000375754,0.009339052,,,23.96461955,-3.618247673
0,6081.80143,9976.303711,69.25054025,178.8882523,-69.23750417,1.343629427,6.26540906,306,1.553598642,0.00106351,0.000144372,0.009997862,,,69.23750417,-1.343629427
0,6081.971687,7924.460938,68.90959442,-178.1570261,-68.87394887,-2.216161236,5.208493809,243,1.553562641,0.001058511,0.000153736,0.010593901,,,68.87394887,2.216161236
0,6082.141831,6294.623047,68.0595222,177.5005704,-67.99477417,2.968037726,7.178348781,193,1.553502917,0.00105582,0.000152587,0.010385012,,,67.99477417,-2.968037726
0,6082.311126,4999.991699,70.54264236,177.4756545,-70.47418757,3.106972302,5.459511609,153,1.553303361,0.00105605,0.000149497,0.010545924,,,70.47418757,-3.106972302
0,6082.481532,3971.636719,64.94076206,174.8050304,-64.67400827,5.880070624,7.182976703,122,1.553558111,0.001052554,0.000158175,0.010272021,,,64.67400827,-5.880070624
0,6082.651112,3154.7854,65.21286704,-178.8289054,-65.19924548,-1.332822779,6.902632048,96,1.553582668,0.001050251,0.000159826,0.010422701,,,65.19924548,1.332822779
0,6082.820983,2505.932861,66.84779516,179.5478604,-66.84571376,0.527512219,9.463921967,76,1.55352354,0.001049674,0.000158533,0.010597593,,,66.84571376,-0.527512219
0,6082.990914,1990.533203,68.69158317,178.242734,-68.65927821,2.106445863,8.609531058,61,1.553794026,0.001045949,0.000154895,0.010640003,,,68.65927821,-2.106445863
0,6083.161251,1581.135498,66.07310837,179.7939335,-66.07268104,0.237633964,8.598567414,48,1.553723454,0.001046845,0.000159445,0.010535014,,,66.07268104,-0.237633964
0,6083.330529,1255.940918,66.85198252,178.4916184,-66.8288173,1.759757107,9.942923477,38,1.55360198,0.001040528,0.000153348,0.010251616,,,66.8288173,-1.759757107
0,6083.500096,997.6298218,66.83578447,-179.8157108,-66.83543874,-0.214973808,9.198857408,30,1.553853631,0.001041364,0.000155717,0.010407481,,,66.83543874,0.214973808
0,6083.669617,792.4449463,64.16033797,-179.3265531,-64.15590604,-0.75411459,10.58618135,24,1.553815246,0.001040895,0.00016187,0.010385657,,,64.15590604,0.75411459
